,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
281,7053806.0,0.0,72061.86,108334.0,0.0,936.0,5017.33,0.0,51.26,77.06,0.0,0.67,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87872093.0,994851.0,62.43,0.71,1127100.0,0.8,0.06,16.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.83,450.42,28.2,5.99,3.41,6426.67,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.64,1417173120.0,0.0,0.0,0.0,0.0
282,7053806.0,0.0,72061.86,108334.0,0.0,936.0,5017.22,0.0,51.26,77.06,0.0,0.67,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88945107.0,1073014.0,63.19,0.76,1124759.0,0.8,0.06,16.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.83,450.42,28.2,5.99,3.41,6426.67,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.64,1417173120.0,0.0,0.0,0.0,0.0
283,7053806.0,0.0,72061.86,108334.0,0.0,936.0,5017.11,0.0,51.26,77.05,0.0,0.67,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90090122.0,1145015.0,64.0,0.81,1116924.0,0.79,0.06,16.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.83,450.42,28.2,5.99,3.41,6426.67,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.64,1417173120.0,0.0,0.0,0.0,0.0
284,7053806.0,0.0,72061.86,108334.0,0.0,936.0,5016.99,0.0,51.25,77.05,0.0,0.67,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91226305.0,1136183.0,64.81,0.81,1108619.0,0.79,0.06,16.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.57,450.42,28.2,5.99,3.41,6426.67,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.64,1417173120.0,0.0,0.0,0.0,0.0
285,7053806.0,0.0,72061.86,108334.0,0.0,936.0,5016.88,0.0,51.25,77.05,0.0,0.67,0.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92254927.0,1028622.0,65.54,0.73,1088607.0,0.77,0.06,16.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.57,450.42,28.2,5.99,3.41,6426.67,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.64,1417173120.0,0.0,0.0,0.0,0.0
286,7053806.0,0.0,72061.86,108334.0,0.0,936.0,5016.77,0.0,51.25,77.05,0.0,0.67,0.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93254017.0,999090.0,66.25,0.71,1065046.0,0.76,0.06,16.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.57,450.42,28.2,5.99,3.41,6426.67,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.64,1417173120.0,0.0,0.0,0.0,0.0
287,7494551.0,0.0,62963.57,114031.0,0.0,813.86,5330.11,0.0,44.78,81.1,0.0,0.58,0.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94224190.0,970173.0,66.94,0.69,1049564.0,0.75,0.06,17.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.57,450.42,28.2,5.99,3.41,6426.67,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.64,1417173120.0,0.0,0.0,0.0,0.0
288,7494551.0,0.0,62963.57,114031.0,0.0,813.86,5329.99,0.0,44.78,81.1,0.0,0.58,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95083976.0,859786.0,67.55,0.61,1030269.0,0.73,0.06,17.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.57,450.42,28.2,5.99,3.41,6426.67,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.64,1417173120.0,0.0,0.0,0.0,0.0
289,7494551.0,0.0,62963.57,114031.0,0.0,813.86,5329.87,0.0,44.78,81.1,0.0,0.58,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96116771.0,1032795.0,68.29,0.73,1024523.0,0.73,0.06,17.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.57,450.42,28.2,5.99,3.41,6426.67,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.64,1417173120.0,0.0,0.0,0.0,0.0
290,7494551.0,0.0,62963.57,114031.0,0.0,813.86,5329.75,0.0,44.78,81.09,0.0,0.58,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97200379.0,1083608.0,69.06,0.77,1015751.0,0.72,0.06,17.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.57,450.42,28.2,5.99,3.41,6426.67,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.64,1417173120.0,0.0,0.0,0.0,0.0
